Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg01778994;ST3GAL1;8,22651;0,2239795;8;1,35E+08;"NM_003033;NM_173344";"5'UTR;5'UTR";;0,0420477;;;
cg01779323;KLRG2;5,34518;0,1208625;7;1,39E+08;NM_198508;Body;N_Shelf;0,0391234;;;
cg01779444;COL20A1;-2,7348;-0,088123;20;6,20E+07;NM_020882;3'UTR;;0,0481862;;;
cg01779747;FOXN4;2,29469;0,0896395;12;1,10E+08;NM_213596;TSS1500;Island;0,0480869;;;
cg01779765;FLJ43390;3,30666;0,033447;14;6,26E+07;NR_015358;TSS1500;Island;0,047675;;;
cg01780412;;2,3373;0,0652565;X;3,70E+07;;;Island;0,0444495;;;
cg01781382;DNAJC6;9,54484;0,240025;1;6,59E+07;NM_014787;3'UTR;;0,0440156;;;
cg01781417;PARD6G;-8,93488;-0,186458;18;7,80E+07;NM_032510;Body;Island;0,0398626;;;
cg01782798;IL34;5,42178;0,127121;16;7,07E+07;NM_152456;TSS200;;0,0382745;;;
cg01784128;;-2,84344;-0,104387;16;6,65E+07;;;;0,0426569;;;
cg01784507;;8,56031;0,16542;1;2,27E+08;;;;0,0387894;;;
cg01784928;TMEM63C;2,22449;0,053249;14;7,76E+07;NM_020431;TSS1500;N_Shore;0,0441203;;;
cg01785359;PLEKHA2;2,8768;0,0563135;8;3,88E+07;NM_021623;TSS1500;N_Shore;0,0434505;;;
cg01785417;PTCHD2;3,30195;0,1280685;1;1,15E+07;NM_020780;TSS1500;Island;0,0445808;;;
cg01785906;TNXB;3,00231;0,0782955;6;3,21E+07;NM_019105;Body;S_Shore;0,0450502;;;
cg01786382;;4,80318;0,100213;5;3,31E+06;;;N_Shore;0,0422425;;;
cg01786466;MPP4;3,39449;0,0936985;2;2,03E+08;NM_033066;5'UTR;;0,0485084;;;
cg01786715;HSPA2;6,62124;0,199276;14;6,50E+07;"NM_021979;NM_021979";"1stExon;5'UTR";Island;0,049859;;;
cg01787808;C15orf29;12,7436;0,2218875;15;3,45E+07;NM_024713;TSS1500;S_Shore;0,0397962;;;
cg01790083;MRAP;6,23966;0,1685445;21;3,37E+07;"NM_206898;NM_178817";"5'UTR;5'UTR";N_Shore;0,0445353;;;
cg01791371;;8,35927;0,1656945;6;5,08E+07;;;N_Shore;0,0445551;;;
cg01791587;SLC6A17;7,28395;0,192144;1;1,11E+08;NM_001010898;5'UTR;Island;0,0400885;;;
cg01791865;;-7,12843;-0,2080805;5;6,40E+07;;;;0,0497098;;;
cg01792368;;-1,93999;-0,02453805;6;1,31E+08;;;Island;0,0423645;;;
cg01792592;MEGF6;2,96411;0,1111885;1;3,41E+06;NM_001409;Body;;0,0432292;;;
cg01792640;TNK2;3,27043;0,084725;3;1,96E+08;"NM_001010938;NM_005781";"Body;Body";Island;0,0456304;;;
cg01794103;TBC1D2B;-1,52844;-0,040745;15;7,83E+07;"NM_144572;NM_015079";"Body;Body";;0,0400885;;;
cg01795082;ATP11A;-3,35891;-0,111073;13;1,14E+08;"NM_015205;NM_032189";"3'UTR;3'UTR";N_Shore;0,0408722;;;
cg01796166;;9,47771;0,2167775;14;9,52E+07;;;Island;0,0347648;;;
cg01796225;CHORDC1;1,99329;0,0376595;11;9,00E+07;"NM_001144073;NM_012124";"Body;Body";N_Shore;0,0424703;;;
cg01797043;RPL3L;2,55587;0,1009565;16;2,00E+06;NM_005061;TSS200;;0,0451376;;;
cg01797371;;35,1403;0,251101;3;1,96E+08;;;;0,0463152;;;
cg01797527;BMP2;8,07165;0,199948;20;6,75E+06;"NM_001200;NM_001200";"5'UTR;1stExon";Island;0,0434877;;;
cg01798661;NEK5;1,78236;0,0291545;13;5,27E+07;NM_199289;TSS1500;S_Shore;0,0491943;;;
cg01799460;PLEKHG5;6,18408;0,183039;1;6,53E+06;"NM_001042664;NM_001042665;NM_198681;NM_020631;NM_001042663";"Body;Body;Body;Body;Body";N_Shore;0,0489991;;;
cg01799681;ELOVL2;1,94762;0,0404985;6;1,10E+07;NM_017770;Body;N_Shore;0,0498023;;;
cg01800148;SLC2A5;5,61799;0,1323915;1;9,13E+06;"NM_001135585;NR_024180;NM_003039";"TSS1500;Body;TSS1500";N_Shore;0,0456431;;;
cg01800345;KCNAB1;-2,53551;-0,0996685;3;1,56E+08;"NM_003471;NM_172159;NM_172159;NM_172160";"Body;1stExon;5'UTR;Body";Island;0,0389283;;;
cg01800445;PRDM16;3,47953;0,102499;1;3,13E+06;"NM_022114;NM_199454";"Body;Body";;0,0458559;;;
cg01801610;;-2,98759;-0,1167345;14;9,91E+07;;;;0,0491943;;;
cg01802258;SLC24A4;6,77813;0,111956;14;9,28E+07;"NM_153646;NM_153648;NM_153647";"TSS200;5'UTR;TSS200";Island;0,0382745;;;
cg01802261;;-1,90708;-0,0469065;8;1,20E+08;;;S_Shelf;0,0490361;;;
cg01802415;;8,61549;0,1438465;8;2,26E+07;;;S_Shore;0,0382745;;;
cg01803461;;4,97577;0,1105665;16;8,66E+07;;;S_Shore;0,0419901;;;
cg01803704;SNORD114-26;10,3657;0,242958;14;1,01E+08;"NR_003219;NR_003220";"TSS200;TSS1500";;0,040392;;;
cg01803856;GEMIN4;1,79556;0,0098675;17;650796;NM_015721;Body;;0,0453867;;;
cg01804036;TESC;-3,3782;-0,1163765;12;1,17E+08;"NR_031766;NM_017899;NM_001168325";"Body;Body;Body";N_Shore;0,0408631;;;
cg01804528;GDPD5;2,2788;0,071186;11;7,52E+07;NM_030792;Body;;0,0405691;;;
cg01805215;FBXL17;7,0941;0,128228;5;1,08E+08;NM_001163315;Body;;0,0447566;;;
cg01805480;FBRSL1;4,23871;0,1190285;12;1,33E+08;NM_001142641;Body;S_Shore;0,0451486;;;
cg01805540;CACNB2;31,5646;0,15071145;10;1,84E+07;"NM_001167945;NM_201571;NM_201572;NM_201571;NM_201593;NM_201597;NM_201596;NM_201572;NM_001167945";"1stExon;1stExon;1stExon;5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR";Island;0,040763;;;
cg01805732;PXDN;3,15942;0,124129;2;1,75E+06;NM_012293;TSS1500;Island;0,0488197;;;
cg01806195;RAGE;3,21007;0,1210965;14;1,03E+08;NM_014226;Body;;0,0410914;;;
cg01806261;IMMP2L;4,76678;0,150965;7;1,11E+08;NM_032549;Body;;0,0382745;;;
cg01806346;MAN2B2;5,34201;0,1217755;4;6,58E+06;NM_015274;TSS1500;N_Shore;0,0497326;;;
cg01806859;;2,79627;0,0969195;1;2,29E+08;;;N_Shelf;0,0382745;;;
cg01806921;;2,9182;0,062225;22;2,80E+07;;;S_Shore;0,0430888;;;
cg01807377;NPPB;4,67553;0,122092;1;1,19E+07;NM_002521;TSS1500;Island;0,0466846;;;
cg01807433;MTUS2;-5,62611;-0,132481;13;2,96E+07;NM_001033602;Body;;0,0406387;;;
cg01807688;MGC16121;-2,45708;-0,0601045;X;1,34E+08;"NR_024607;NR_029946;NR_030228";"TSS200;Body;TSS1500";S_Shore;0,0490361;;;
cg01807728;HMGB3;5,83993;0,1320215;X;1,50E+08;NM_005342;TSS200;Island;0,0382745;;;
cg01808969;FOXK1;16,5452;0,1919575;7;4,79E+06;NM_001037165;Body;N_Shore;0,0408631;;;
cg01809377;XRRA1;-2,5989;-0,0226559;11;7,47E+07;"NM_182969;NM_182969;NM_014752";"1stExon;5'UTR;TSS1500";Island;0,0406387;;;
cg01809797;DRG1;1,9045;0,0694755;22;3,18E+07;NM_004147;Body;S_Shore;0,0424379;;;
cg01811187;CACNA1G;-4,88505;-0,1601715;17;4,86E+07;"NM_198384;NM_198397;NM_198396;NM_198379;NM_198383;NM_198380;NM_198387;NM_198378;NM_198377;NM_198386;NM_198376;NM_198385;NM_018896;NM_198388;NM_198382";"TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500";Island;0,0476297;;;
cg01811418;;-2,16311;-0,0833905;4;1,90E+08;;;N_Shore;0,0467587;;;
cg01811559;;15,1055;0,199426;3;4,21E+07;;;N_Shelf;0,0421902;;;
cg01811583;;13,3291;0,231434;14;1,00E+08;;;;0,0439263;;;
cg01811815;RASA3;3,58918;0,063695;13;1,15E+08;NM_007368;Body;;0,0424192;;;
cg01812577;CHRM1;-5,97583;-0,1854385;11;6,27E+07;NM_000738;TSS200;N_Shore;0,0401629;;;
cg01813165;ALS2;-1,35145;-0,0322775;2;2,03E+08;"NM_001135745;NM_020919";"TSS1500;TSS1500";S_Shore;0,0453747;;;
cg01813171;HCG4;27,5857;0,316647;6;2,98E+07;NR_002139;TSS1500;S_Shore;0,0402222;;;
cg01814969;QARS;-2,53418;-0,083209;3;4,91E+07;NM_005051;Body;N_Shore;0,0398626;;;
cg01815076;SLC35B3;-2,01542;-0,0130313;6;8,44E+06;"NM_001142540;NM_001142541;NM_015948";"TSS200;TSS200;TSS200";Island;0,0451216;;;
cg01815090;MB;3,47616;0,066175;22;3,60E+07;"NM_005368;NM_203378;NM_203377";"TSS1500;TSS200;5'UTR";;0,0400952;;;
cg01815720;;-3,89446;-0,117534;1;3,13E+07;;;N_Shelf;0,0457836;;;
cg01815912;NTHL1;7,29213;0,185946;16;2,09E+06;NM_002528;3'UTR;S_Shore;0,0418743;;;
cg01816031;RPP40;2,50323;0,061303;6;5,00E+06;NM_006638;TSS1500;S_Shore;0,0408631;;;
cg01816726;ST8SIA6;9,25665;0,2191995;10;1,75E+07;NM_001004470;TSS1500;S_Shore;0,046176;;;
cg01816775;MYH9;4,80128;0,151672;22;3,67E+07;NM_002473;Body;;0,0394157;;;
cg01817885;PDE4D;4,39066;0,0890525;5;5,92E+07;"NM_001165899;NM_001104631";"Body;Body";;0,0407468;;;
cg01818076;;-1,9075;-0,069941;16;8,65E+07;;;Island;0,0495216;;;
cg01818727;GPR64;-3,54359;-0,1364105;X;1,91E+07;"NM_005756;NM_001079858;NM_001079859;NM_001079860";"5'UTR;5'UTR;5'UTR;5'UTR";N_Shelf;0,0390167;;;
cg01819572;;3,09502;0,1044995;3;5,72E+07;;;S_Shore;0,0403813;;;
cg01820539;SPHKAP;-3,87175;-0,142884;2;2,29E+08;"NM_001142644;NM_030623";"Body;Body";N_Shore;0,0459881;;;
cg01821923;CXCL14;-2,06549;-0,0739995;5;1,35E+08;NM_004887;Body;Island;0,0486385;;;
cg01822102;IFT140;1,65113;0,0145295;16;1,60E+06;"NM_014714;NM_024600";"Body;Body";Island;0,0382745;;;
cg01822289;SLC22A11;6,13319;0,143695;11;6,43E+07;NM_018484;Body;N_Shore;0,0406727;;;
cg01822600;KIF26B;2,45079;0,0836385;1;2,46E+08;NM_018012;Body;N_Shore;0,0484804;;;
cg01823120;MIR548H3;4,89073;0,16043;6;9,78E+07;NR_031679;Body;;0,0457199;;;
cg01823414;;1,9858;0,0368105;16;5,55E+07;;;;0,042738;;;
cg01823428;WNT3;4,59121;0,143975;17;4,49E+07;NM_030753;Body;N_Shelf;0,0447846;;;
cg01824172;HIPK2;6,01868;0,1859935;7;1,39E+08;"NM_001113239;NM_022740";"Body;Body";N_Shelf;0,0467521;;;
cg01824517;GPR123;3,26319;0,1223705;10;1,35E+08;NM_001083909;Body;Island;0,0412756;;;
cg01824804;LOX;1,3727;0,0147835;5;1,21E+08;NM_002317;1stExon;Island;0,044728;;;
cg01824933;;42,9507;0,2135445;17;7,55E+07;;;;0,0428;;;
cg01826056;PDZRN4;-2,1404;-0,070209;12;4,19E+07;"NM_001164595;NM_013377";"Body;Body";;0,0397128;;;
cg01826354;B3GNTL1;9,39669;0,12858;17;8,10E+07;NM_001009905;Body;N_Shelf;0,0444804;;;
cg01826623;RNASE10;14,2437;0,2038285;14;2,10E+07;NM_001012975;TSS200;;0,0404324;;;
cg01827999;TOM1L2;13,5425;0,232601;17;1,78E+07;"NM_001033551;NM_001082968";"Body;Body";;0,0496207;;;
cg01828650;TMEM168;3,383;0,131532;7;1,12E+08;NM_022484;TSS200;S_Shore;0,0419191;;;
cg01828753;;-10,6945;-0,137853;6;9,93E+07;;;Island;0,0444514;;;
cg01828813;COL11A2;3,79757;0,1250775;6;3,31E+07;"NM_080679;NM_080681;NM_080680";"Body;Body;Body";S_Shelf;0,0477997;;;
cg01829407;NAA11;4,03135;0,1234345;4;8,02E+07;NM_032693;1stExon;;0,0382745;;;
cg01829657;CBFA2T3;-2,55822;-0,093172;16;8,90E+07;"NM_175931;NM_005187";"5'UTR;Body";S_Shore;0,0446011;;;
cg01829829;KCNV1;-2,80961;-0,111519;8;1,11E+08;NM_014379;Body;N_Shore;0,0469786;;;
cg01830023;;6,56022;0,173129;5;1,34E+08;;;Island;0,0463754;;;
cg01830294;WNT2;-4,02145;-0,1484405;7;1,17E+08;"NR_024047;NM_003391";"TSS200;TSS200";Island;0,0397962;;;
cg01830883;WDR8;73,5105;0,410282;1;3,56E+06;NM_017818;Body;S_Shore;0,0444907;;;
cg01831771;ATP11A;-6,24386;-0,180467;13;1,13E+08;"NM_015205;NM_032189";"Body;Body";N_Shore;0,0486313;;;
cg01832005;C3orf14;-4,52198;-0,150916;3;6,23E+07;NM_020685;TSS1500;Island;0,0469974;;;
cg01832294;GPR133;5,63207;0,1684925;12;1,32E+08;NM_198827;Body;;0,0401276;;;
cg01832605;;5,34627;0,1789455;3;5,32E+07;;;Island;0,0401629;;;
cg01832665;;2,30978;0,079698;7;1,55E+08;;;;0,0397831;;;
cg01833044;;1,61141;0,022957;8;1,76E+06;;;;0,0399885;;;
cg01833675;FAM124B;5,00719;0,1700535;2;2,25E+08;"NM_024785;NM_001122779";"TSS200;TSS200";;0,0459881;;;
cg01833923;GNGT2;1,91866;0,056065;17;4,73E+07;"NM_031498;NM_016428;NM_001135186;NM_031498";"1stExon;TSS1500;TSS1500;5'UTR";;0,0439369;;;
cg01834064;POU6F2;-3,94988;-0,1437645;7;3,92E+07;"NM_007252;NM_001166018";"Body;Body";;0,042491;;;
cg01837367;C3orf21;1,51628;0,0260565;3;1,95E+08;NM_152531;Body;N_Shore;0,049856;;;
cg01838497;RP1L1;7,97324;0,189057;8;1,05E+07;NM_178857;TSS200;;0,0450202;;;
cg01838917;;7,5757;0,159407;5;1,35E+08;;;;0,0408631;;;
cg01838941;GPRIN2;3,32444;0,125512;10;4,70E+07;NM_014696;5'UTR;S_Shore;0,0441019;;;
cg01839430;ATIC;2,39828;0,0621665;2;2,16E+08;NM_004044;Body;Island;0,0444379;;;
cg01841839;;1,86926;0,0637905;20;5,96E+07;;;N_Shore;0,0432292;;;
cg01842720;PPFIBP2;-2,26893;-0,08849;11;7,54E+06;NM_003621;5'UTR;S_Shore;0,0495216;;;
cg01842867;;26,5153;0,305725;7;3,56E+07;;;N_Shore;0,0382745;;;
cg01843020;ISL2;7,76257;0,1493875;15;7,66E+07;NM_145805;Body;N_Shore;0,0391234;;;
cg01843264;;-5,27828;-0,156822;12;1,33E+08;;;;0,0476205;;;
cg01843272;SBF1;3,86036;0,1073995;22;5,09E+07;NM_002972;Body;N_Shore;0,0382745;;;
cg01843506;CCR4;-3,37419;-0,095773;3;3,30E+07;"NM_005508;NM_005508";"1stExon;5'UTR";;0,0486299;;;
cg01844235;RAB36;-2,17814;-0,0568915;22;2,35E+07;NM_004914;Body;Island;0,0446189;;;
cg01847344;C21orf29;27,7421;0,228257;21;4,59E+07;NM_144991;Body;S_Shelf;0,0398879;;;
cg01847380;MYCL1;-7,15592;-0,18697;1;4,04E+07;"NM_001033081;NM_001033082;NM_005376";"Body;Body;Body";Island;0,0435603;;;
cg01849401;NOTCH4;-1,53253;-0,0405275;6;3,22E+07;NM_004557;Body;;0,0426875;;;
cg01850505;RGL1;6,09289;0,119458;1;1,84E+08;NM_015149;Body;Island;0,0403706;;;
cg01851208;C10orf58;5,66491;0,165298;10;8,22E+07;NM_032333;TSS200;N_Shore;0,0485444;;;
cg01851230;CHP;-9,49588;-0,16621;15;4,15E+07;"NM_007236;NM_152596";"TSS1500;TSS200";Island;0,0475044;;;
cg01852522;GALNT9;3,70314;0,05464465;12;1,33E+08;"NM_001122636;NM_021808";"Body;Body";N_Shore;0,040279;;;
cg01852560;;-2,55072;-0,097432;X;6,83E+07;;;S_Shore;0,0414067;;;
cg01852585;NPNT;-15,1441;-0,251365;4;1,07E+08;NM_001033047;Body;Island;0,040279;;;
cg01853949;;3,98589;0,1076985;16;6,65E+07;;;;0,0437558;;;
cg01855272;EPHA10;-6,12651;-0,1936165;1;3,82E+07;NM_001099439;Body;Island;0,0412408;;;
cg01856970;IL15;2,36295;0,092286;4;1,43E+08;"NM_172174;NM_000585";"TSS200;TSS200";Island;0,0461316;;;
cg01857186;OR4D5;4,70945;0,088739;11;1,24E+08;NM_001001965;1stExon;;0,0416309;;;
cg01857253;;11,5154;0,174606;X;1,39E+08;;;;0,0471532;;;
cg01857475;TXNRD1;-22,7534;-0,2427875;12;1,05E+08;"NM_182729;NM_182743;NM_001093771;NM_001008394;NM_003330;NM_182742";"5'UTR;5'UTR;Body;TSS1500;Body;5'UTR";N_Shore;0,0424826;;;
cg01858866;PABPC4;12,2294;0,264875;1;4,00E+07;"NM_001135654;NM_003819;NM_001135653";"Body;Body;Body";N_Shore;0,0484599;;;
cg01859228;DAPK2;8,58736;0,208357;15;6,42E+07;NM_014326;Body;;0,0408631;;;
cg01859321;;6,01388;0,113483;8;1,45E+08;;;S_Shelf;0,0427128;;;
cg01859340;;-2,52148;-0,0921855;18;4,48E+07;;;N_Shore;0,0469146;;;
cg01859739;ZNF544;2,49816;0,0167812;19;5,87E+07;NM_014480;TSS200;Island;0,0461128;;;
cg01860328;MCTP1;2,7974;0,0756845;5;9,46E+07;NM_024717;TSS1500;Island;0,0401629;;;
cg01860897;LRRC8D;-5,35758;-0,171116;1;9,03E+07;"NM_018103;NM_001134479";"5'UTR;5'UTR";Island;0,0434628;;;
cg01861537;;3,51827;0,1353215;11;1,22E+08;;;;0,0405185;;;
cg01861657;;-4,35963;-0,105531;8;5,81E+07;;;N_Shelf;0,0486816;;;
cg01861913;PTPRG;2,55788;0,0506755;3;6,16E+07;NM_002841;Body;Island;0,0497452;;;
cg01862418;CRIP1;2,20024;0,077089;14;1,06E+08;NM_001311;TSS200;Island;0,034929;;;
cg01863682;NEUROD1;-8,52516;-0,22259;2;1,83E+08;NM_002500;TSS1500;N_Shelf;0,0394014;;;
cg01864069;;13,2628;0,1823105;14;1,03E+08;;;S_Shelf;0,0391234;;;
cg01864361;MIR519C;-6,38621;-0,1822455;19;5,42E+07;NR_030188;TSS1500;;0,0382745;;;
cg01864372;GPR63;6,90609;0,1915425;6;9,73E+07;"NM_030784;NM_001143957";"5'UTR;5'UTR";N_Shore;0,0383741;;;
cg01864982;PRKCG;5,56937;0,1439415;19;5,44E+07;NM_002739;Body;N_Shore;0,0382745;;;
cg01865606;ELOVL5;5,70289;0,0818463;6;5,32E+07;NM_021814;TSS200;S_Shore;0,0382745;;;
cg01866066;;4,3702;0,1440845;X;1,36E+08;;;N_Shelf;0,0408631;;;
cg01866330;SLC45A4;2,64375;0,068552;8;1,42E+08;NM_001080431;Body;N_Shore;0,0410366;;;
cg01866431;GLT1D1;-14,8273;-0,2681385;12;1,29E+08;NM_144669;Body;;0,0457199;;;
cg01866518;PXN;6,89992;0,1401715;12;1,21E+08;"NM_025157;NM_001080855;NM_002859";"5'UTR;Body;Body";;0,0489565;;;
cg01866597;RPUSD1;3,16534;0,0920245;16;837896;"NM_058192;NM_022092";"5'UTR;TSS1500";Island;0,0454348;;;
cg01866895;OBFC2A;4,42574;0,135779;2;1,93E+08;"NR_024415;NM_001031716";"Body;Body";S_Shore;0,0497927;;;
cg01868222;KIAA1543;3,32861;0,1194225;19;7,66E+06;"NM_020902;NM_001080429";"TSS1500;TSS1500";N_Shore;0,0382745;;;
cg01868379;RNF212;-6,14274;-0,179502;4;1,10E+06;"NM_001131034;NM_194439";"Body;Body";N_Shelf;0,0413241;;;
cg01868791;;2,41716;0,0952385;7;1,59E+08;;;N_Shore;0,0382745;;;
cg01869058;RDBP;1,747;0,0588355;6;3,19E+07;"NM_002904;NM_006929;NR_031601";"Body;TSS1500;TSS1500";N_Shore;0,0406387;;;
cg01869186;EPHB4;-2,29482;-0,0614205;7;1,00E+08;NM_004444;Body;N_Shore;0,0437558;;;
cg01869288;;4,28372;0,1214555;15;3,15E+07;;;;0,042749;;;
cg01869896;MFSD2A;6,69445;0,130428;1;4,04E+07;"NM_032793;NM_001136493";"TSS1500;TSS1500";N_Shore;0,0407016;;;
cg01870916;;6,10541;0,116301;8;3,70E+07;;;;0,0406687;;;
cg01870976;PCSK6;1,6004;0,050474;15;1,02E+08;"NM_138324;NM_002570;NM_138323;NM_138320;NM_138319;NM_138321";"3'UTR;Body;3'UTR;Body;Body;Body";;0,0421247;;;
cg01871214;;5,67307;0,1861835;4;4,19E+07;;;Island;0,0449053;;;
cg01871595;FREM2;12,5895;0,162988;13;3,93E+07;NM_207361;Body;;0,0408631;;;
cg01871631;;7,90224;0,186246;8;1,30E+08;;;Island;0,0406652;;;
cg01871875;CCDC135;-6,49089;-0,165653;16;5,78E+07;NM_032269;Body;S_Shore;0,0474909;;;
cg01874426;MIR374B;-1,31037;-0,0166425;X;7,34E+07;"NR_030620;NR_028379;NR_030398";"Body;Body;TSS200";;0,0488691;;;
cg01874672;;4,24454;0,1205145;4;1,20E+06;;;N_Shore;0,040279;;;
cg01874863;SGCZ;4,23484;0,118505;8;1,51E+07;NM_139167;Body;N_Shore;0,0423124;;;
cg01875118;MGC23270;-9,99738;-0,167857;14;1,05E+08;NR_024396;Body;;0,044058;;;
cg01875467;CSF1R;4,63898;0,15133;5;1,49E+08;NM_005211;TSS200;;0,0451216;;;
cg01876338;GPR75;4,84197;0,157851;2;5,41E+07;"NM_006794;NM_001164165;NM_006794";"5'UTR;1stExon;1stExon";Island;0,0382745;;;
cg01876492;;2,93897;0,0933205;13;1,12E+08;;;S_Shore;0,0382745;;;
cg01876619;ECE2;-9,01334;-0,15292;3;1,84E+08;"NM_014693;NM_032331";"Body;Body";S_Shelf;0,0480774;;;
cg01877084;NHLH1;-5,41283;-0,178686;1;1,60E+08;NM_005598;3'UTR;S_Shore;0,0379277;;;
cg01877450;BRI3;5,99467;0,096292;7;9,79E+07;"NM_015379;NM_001159491";"Body;Body";;0,0419911;;;
cg01877961;ADAP1;2,07329;0,038568;7;940962;NM_006869;Body;N_Shore;0,0444907;;;
cg01878387;;-2,10965;-0,0545485;5;8,19E+07;;;;0,0483612;;;
cg01878807;DHRS4;7,37877;0,142007;14;2,44E+07;"NM_021004;NR_023921;NR_023922;NR_023923;NR_023924";"TSS1500;Body;Body;Body;Body";N_Shore;0,0433905;;;
cg01879048;;6,64267;0,184285;20;6,17E+07;;;Island;0,0389379;;;
cg01879460;NLRP7;-3,18427;-0,1248455;19;5,55E+07;"NM_206828;NM_001127255;NM_139176";"TSS1500;TSS1500;TSS1500";;0,0482653;;;
cg01879473;PAX3;1,21551;0,02041;2;2,23E+08;"NM_181458;NM_181461;NM_000438;NM_181459;NM_181460;NM_013942;NM_181457;NM_001127366";"Body;Body;Body;Body;Body;Body;Body;Body";Island;0,041351;;;
cg01880321;GREB1;-7,20586;-0,1730245;2;1,17E+07;NM_014668;Body;Island;0,0487859;;;
cg01880929;CRIM1;11,755;0,183722;2;3,66E+07;NM_016441;Body;;0,0437394;;;
cg01880949;PEX7;2,02309;0,0435955;6;1,37E+08;NM_000288;TSS1500;N_Shore;0,0495005;;;
cg01881062;KLHL21;4,49588;0,106901;1;6,66E+06;NM_014851;Body;N_Shore;0,0446011;;;
cg01881322;LRRC1;5,98319;0,1872745;6;5,37E+07;NM_018214;Body;Island;0,0406926;;;
cg01881899;ABCG1;4,75825;0,1335165;21;4,37E+07;"NM_207628;NM_004915;NM_207174;NM_207627;NM_016818;NM_207629";"Body;Body;Body;Body;Body;Body";N_Shelf;0,043799;;;
cg01882535;;2,54374;0,085949;11;5,66E+07;;;;0,0411144;;;
cg01882930;RPL3;12,4367;0,2665975;22;3,97E+07;"NM_000967;NR_000026;NM_001033853";"Body;TSS200;Body";N_Shelf;0,0392619;;;
cg01883159;TTBK1;-4,07854;-0,1063775;6;4,32E+07;NM_032538;Body;N_Shore;0,0476856;;;
cg01883195;DCBLD1;-1,85915;-0,0381555;6;1,18E+08;NM_173674;TSS1500;N_Shore;0,0478961;;;
cg01884549;MAP1LC3B2;5,96705;0,1841935;12;1,17E+08;NM_001085481;5'UTR;;0,043461;;;
cg01885202;CDKL5;3,60012;0,0970005;X;1,84E+07;NM_003159;TSS1500;Island;0,0412566;;;
cg01885291;;-4,41764;-0,1398075;6;2,90E+07;;;S_Shore;0,0458685;;;
cg01885783;;-1,72463;-0,0323645;22;2,03E+07;;;S_Shore;0,0409077;;;
cg01885948;;3,21888;0,0763825;6;1,39E+07;;;Island;0,0382745;;;
cg01886810;CDK16;1,41894;0,015983;X;4,71E+07;"NM_033018;NM_006201;NM_001170460";"Body;5'UTR;TSS1500";S_Shelf;0,0481579;;;
cg01887308;ZFPM1;4,71032;0,102706;16;8,85E+07;NM_153813;Body;Island;0,0458196;;;
cg01887374;HS6ST1;2,29224;0,0466795;2;1,29E+08;NM_004807;TSS1500;Island;0,0489565;;;
cg01888389;KDM6A;16,8025;0,229119;X;4,47E+07;NM_021140;Body;S_Shelf;0,0397962;;;
cg01889095;FANCC;3,45112;0,0806055;9;9,81E+07;NM_000136;5'UTR;N_Shore;0,0487669;;;
cg01889893;ERRFI1;6,47667;0,199866;1;8,09E+06;NM_018948;5'UTR;N_Shore;0,0465849;;;
cg01890075;CUX1;2,27748;0,088027;7;1,02E+08;"NM_181500;NM_001913";"3'UTR;3'UTR";N_Shelf;0,043972;;;
cg01890726;GLB1L2;4,70777;0,0584165;11;1,34E+08;NM_138342;Body;Island;0,0410914;;;
cg01891252;;4,38555;0,141827;1;5,09E+07;;;Island;0,0382745;;;
cg01891818;ICT1;3,39168;0,07366;17;7,30E+07;NM_001545;TSS1500;N_Shore;0,0394157;;;
cg01891925;BTC;2,10025;0,04772;4;7,57E+07;NM_001729;TSS1500;S_Shore;0,0397357;;;
cg01894038;;9,31841;0,219608;11;7,77E+07;;;N_Shore;0,0485972;;;
cg01894064;TRIM2;12,4457;0,2670115;4;1,54E+08;NM_001130067;TSS1500;N_Shore;0,0408631;;;
cg01894498;;1,84357;0,0647425;14;6,17E+07;;;;0,0459246;;;
cg01894875;C1orf86;-1,54398;-0,0464635;1;2,12E+06;"NM_001146310;NR_024445;NM_182533";"Body;Body;Body";Island;0,0431455;;;
cg01895026;TMEM233;-2,92705;-0,0632195;12;1,20E+08;NM_001136534;Body;Island;0,04514;;;
cg01895890;MTA1;4,98807;0,116942;14;1,06E+08;NM_004689;Body;;0,04683;;;
cg01896119;GSG1L;-2,95185;-0,108045;16;2,79E+07;"NM_001109763;NM_144675;NM_144675";"Body;1stExon;5'UTR";;0,0394836;;;
cg01896229;C22orf9;10,7475;0,191846;22;4,56E+07;"NM_001009880;NM_015264";"Body;Body";N_Shelf;0,0382745;;;
cg01896230;;2,49714;0,0868485;7;1,56E+08;;;S_Shore;0,05;;;
cg01896999;;-3,95872;-0,1117415;19;5,19E+07;;;Island;0,043711;;;
cg01897424;CACNG5;-4,34833;-0,101586;17;6,49E+07;"NM_014404;NM_145811";"TSS1500;TSS1500";;0,040279;;;
cg01897500;;5,05645;0,168915;17;7,59E+07;;;Island;0,0441134;;;
